Origin Airport,Destination Region Normalized,Year,Route,AIR_BERLIN_GROUP_Departures,LUFTHANSA_GROUP_Departures,LowCostCarrier_GROUP_Departures,NEW_ENTRANT_Departures,legacy_group_Departures,regional_and_others_Departures,AIR_BERLIN_GROUP_Market_Share,LUFTHANSA_GROUP_Market_Share,LowCostCarrier_GROUP_Market_Share,NEW_ENTRANT_Market_Share,legacy_group_Market_Share,regional_and_others_Market_Share
FRA,NORTH AFRICA,2017,FRA → NORTH AFRICA,0.0,1550.0,109.0,0.0,0.0,0.0,0.0,0.9342977697408077,0.06570223025919228,0.0,0.0,0.0
FRA,NORTH AFRICA,2018,FRA → NORTH AFRICA,0.0,1396.0,302.0,0.0,0.0,0.0,0.0,0.8221436984687868,0.17785630153121318,0.0,0.0,0.0
FRA,NORTH AFRICA,2019,FRA → NORTH AFRICA,0.0,1443.0,571.0,0.0,0.0,0.0,0.0,0.7164846077457795,0.28351539225422046,0.0,0.0,0.0
FRA,WESTERN EUROPE,2015,FRA → WESTERN EUROPE,2043.0,66636.0,3085.0,428.0,8889.0,0.0,0.025197025197025196,0.8218448218448219,0.038048371381704714,0.005278671945338612,0.10963110963110963,0.0
FRA,WESTERN EUROPE,2016,FRA → WESTERN EUROPE,1955.0,66587.0,3351.0,618.0,7751.0,1.0,0.02435742496542616,0.8296101566101441,0.04175024606605784,0.007699687278073334,0.09657002603939549,1.2459040903031285e-05
FRA,WESTERN EUROPE,2017,FRA → WESTERN EUROPE,943.0,67383.0,5914.0,644.0,7887.0,0.0,0.011392879148494038,0.8140894757825808,0.07145014558238996,0.007780502833117879,0.09528699665341726,0.0
FRA,WESTERN EUROPE,2018,FRA → WESTERN EUROPE,429.0,71863.0,9923.0,1923.0,7577.0,2.0,0.0046774316647949675,0.7835297709257826,0.10819150212065375,0.020966669210724292,0.08261281986981693,2.1806208227482363e-05
FRA,WESTERN EUROPE,2019,FRA → WESTERN EUROPE,0.0,72119.0,10164.0,1845.0,7216.0,0.0,0.0,0.7895318794885269,0.11127167630057803,0.02019837099316868,0.0789980732177264,0.0
HAM,EASTERN EUROPE,2015,HAM → EASTERN EUROPE,0.0,1039.0,682.0,0.0,2336.0,0.0,0.0,0.25610056692137045,0.16810451072220853,0.0,0.575794922356421,0.0
HAM,EASTERN EUROPE,2016,HAM → EASTERN EUROPE,2.0,886.0,840.0,0.0,2455.0,0.0,0.0004781257470714798,0.21180970595266554,0.20081281377002153,0.0,0.5868993545302414,0.0
HAM,EASTERN EUROPE,2017,HAM → EASTERN EUROPE,98.0,904.0,1140.0,0.0,2581.0,0.0,0.02074952360787635,0.19140376879102267,0.24137200931611263,0.0,0.5464746982849884,0.0
