Origin Airport,Destination Region Normalized,Year,Airline_Group,Departures,Total_Market_Departures,Market_Share,Market_Share_Squared,Route
FRA,WESTERN EUROPE,2016,NEW_ENTRANT,618.0,80263.0,0.007699687278073334,5.9285184180124344e-05,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,legacy_group,7751.0,80263.0,0.09657002603939549,0.009325769929249522,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2016,regional_and_others,1.0,80263.0,1.2459040903031285e-05,1.552277002234066e-10,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,AIR_BERLIN_GROUP,943.0,82771.0,0.011392879148494038,0.00012979769529219024,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,LUFTHANSA_GROUP,67383.0,82771.0,0.8140894757825808,0.6627416745799573,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,LowCostCarrier_GROUP,5914.0,82771.0,0.07145014558238996,0.00510512330374472,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,NEW_ENTRANT,644.0,82771.0,0.007780502833117879,6.053622433615535e-05,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2017,legacy_group,7887.0,82771.0,0.09528699665341726,0.009079611731228353,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,AIR_BERLIN_GROUP,429.0,91717.0,0.0046774316647949675,2.187836697882662e-05,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,LUFTHANSA_GROUP,71863.0,91717.0,0.7835297709257826,0.6139189019270093,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,LowCostCarrier_GROUP,9923.0,91717.0,0.10819150212065375,0.011705401131123424,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,NEW_ENTRANT,1923.0,91717.0,0.020966669210724292,0.00043960121779193403,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,legacy_group,7577.0,91717.0,0.08261281986981693,0.006824878006842819,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2018,regional_and_others,2.0,91717.0,2.1806208227482363e-05,4.755107172603195e-10,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2019,LUFTHANSA_GROUP,72119.0,91344.0,0.7895318794885269,0.6233605887286857,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2019,LowCostCarrier_GROUP,10164.0,91344.0,0.11127167630057803,0.01238138594674062,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2019,NEW_ENTRANT,1845.0,91344.0,0.02019837099316868,0.0004079741907776779,FRA → WESTERN EUROPE
FRA,WESTERN EUROPE,2019,legacy_group,7216.0,91344.0,0.0789980732177264,0.0062406955721132605,FRA → WESTERN EUROPE
HAM,EASTERN EUROPE,2015,AIR_BERLIN_GROUP,0.0,4057.0,0.0,0.0,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2015,LUFTHANSA_GROUP,1039.0,4057.0,0.25610056692137045,0.06558750037744734,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2015,LowCostCarrier_GROUP,682.0,4057.0,0.16810451072220853,0.02825912652515312,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2015,legacy_group,2336.0,4057.0,0.575794922356421,0.33153979261143696,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,AIR_BERLIN_GROUP,2.0,4183.0,0.0004781257470714798,2.2860423001266067e-07,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,LUFTHANSA_GROUP,886.0,4183.0,0.21180970595266554,0.044863351535754645,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,LowCostCarrier_GROUP,840.0,4183.0,0.20081281377002153,0.040325786174233345,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,NEW_ENTRANT,0.0,4183.0,0.0,0.0,HAM → EASTERN EUROPE
HAM,EASTERN EUROPE,2016,legacy_group,2455.0,4183.0,0.5868993545302414,0.34445085234801404,HAM → EASTERN EUROPE
